N,P,K,temperature,humidity,ph,rainfall,label
86,54,38,21.882781,81.33092,6.332674,137.751595,jute
69,39,46,21.24367,88.186793,6.562802,155.687285,jute
56,50,38,33.687332,83.755352,7.192258,167.414304,papaya
22,71,14,28.857124,66.466001,6.841064,55.639254,lentil
21,125,207,20.05573,84.259105,6.173794,56.805345,grapes
82,57,30,23.976951,83.339531,6.712729,198.891479,rice
17,11,11,21.539536,86.2181,7.388538,137.902038,orange
18,50,22,28.299049,85.770437,6.86422,46.689305,mungbean
17,26,31,30.653987,53.710128,5.912477,122.488419,mango
16,72,23,18.706456,24.328106,6.004177,96.917372,kidneybeans
22,134,203,25.299571,82.950571,5.415703,55.922993,grapes
16,59,18,31.406551,85.687077,5.963241,57.920676,mungbean
17,21,14,23.84489,90.705613,6.647273,98.175688,orange
15,64,20,26.090905,47.68808,5.76344,147.38243,pigeonpeas
112,72,39,29.759884,83.327592,6.401807,121.014039,banana
75,52,53,23.972799,83.292882,6.216256,210.504669,rice
23,74,19,26.164181,36.845153,5.371659,187.228382,pigeonpeas
26,18,46,22.480237,92.195533,6.328926,110.901539,pomegranate
95,38,24,25.226933,51.604936,6.260629,197.682775,coffee
85,17,51,30.471154,99.9,5.954129,24.580209,muskmelon
33,76,21,28.231533,65.150822,7.539329,76.802574,blackgram
51,70,55,35.319084,93.576066,6.098738,122.106669,papaya
44,58,49,33.860639,99.9,6.848341,102.281949,papaya
18,7,42,21.029607,89.900294,6.31569,123.140928,pomegranate
21,79,23,21.678113,22.335307,6.464184,111.146442,kidneybeans
42,68,75,18.68078,16.734911,7.151996,77.118059,chickpea
20,39,15,28.695627,90.415734,6.597488,46.640835,mungbean
20,46,17,26.847776,83.251944,6.159778,48.241285,mungbean
20,23,28,35.204855,48.354571,5.94409,103.119819,mango
20,53,23,27.596317,52.831961,6.223247,156.352397,pigeonpeas
106,10,47,28.445601,94.99126,5.411018,26.329125,muskmelon
20,15,25,30.238851,38.950648,5.337034,65.287453,mango
18,40,19,29.183011,53.644269,7.022792,69.134077,mothbeans
25,72,13,27.972073,39.716176,6.233076,139.577507,pigeonpeas
94,14,56,27.392516,96.761612,6.989085,11.650289,muskmelon
88,47,48,23.303015,93.180677,6.650267,210.285273,rice
15,29,33,18.515613,93.137907,5.46144,102.294522,pomegranate
96,23,44,28.063398,90.933517,6.465194,20.335017,muskmelon
17,74,24,27.902451,56.100962,5.328784,182.344482,pigeonpeas
25,155,185,18.753567,91.31931,5.292634,113.924232,apple
16,53,23,29.268404,82.022286,6.799819,37.169438,mungbean
85,45,42,22.794022,82.646359,6.337729,271.033462,rice
17,70,15,19.283798,18.016738,6.160454,117.876767,kidneybeans
18,128,188,22.15064,96.600085,5.898295,130.188285,apple
75,55,40,22.083383,79.438785,6.671839,214.089001,rice
20,27,30,29.924383,49.85298,6.251115,96.70956,mango
56,76,60,32.149242,89.616762,6.636269,178.691178,papaya
21,38,20,29.543062,62.868188,7.255002,58.608467,mothbeans
113,57,22,25.967365,86.230523,7.110378,93.92583,cotton
16,8,42,21.217889,94.0807,5.950795,94.617541,pomegranate
13,77,18,27.85098,56.183482,5.251331,134.81118,pigeonpeas
50,54,54,34.793179,97.030078,7.086459,152.82548,papaya
19,61,20,24.066954,59.664551,7.433021,55.28932,lentil
89,46,20,22.16732,65.324632,5.86149,56.198982,maize
45,65,72,16.810382,11.10093,8.122483,64.451875,chickpea
86,17,53,29.732326,97.361699,6.190079,20.739146,muskmelon
122,40,12,21.578159,76.345498,7.108638,97.283205,cotton
18,68,27,17.621786,16.129899,5.965904,105.763316,kidneybeans
35,63,83,22.239809,18.184015,6.821647,87.66904,chickpea
18,36,18,30.913216,79.891329,6.277964,50.262677,mungbean
90,18,30,27.289282,58.249997,6.586058,170.612554,coffee
93,34,37,23.850576,60.743856,7.533773,169.382787,coffee
19,16,11,21.621679,93.270477,6.9424,108.114546,orange
88,17,32,26.565067,87.741372,6.799018,47.049531,watermelon
18,12,10,22.346676,95.096591,6.818696,144.368792,orange
24,139,211,20.346625,89.009168,4.896417,58.468504,grapes
90,20,31,24.643098,53.018118,6.292969,163.024387,coffee
23,69,25,29.211801,45.616315,5.473513,150.562861,pigeonpeas
17,22,27,31.347727,57.361519,5.263805,90.202606,mango
20,141,184,20.899605,85.747017,5.796161,137.22855,apple
20,25,30,31.502815,46.726289,5.441453,88.269565,mango
14,28,50,21.821204,91.229492,6.184577,115.647054,pomegranate
98,21,36,26.720133,63.657432,7.31617,138.369678,coffee
17,70,19,22.523538,36.275799,5.557254,158.153732,pigeonpeas
114,33,29,23.131604,55.518681,7.435825,193.635945,coffee
16,155,186,23.095618,81.870076,6.665075,50.127313,grapes
88,34,23,28.947998,84.613391,7.029453,79.680014,cotton
16,11,31,19.396713,86.511244,6.022691,117.364379,pomegranate
44,61,54,31.978952,92.110089,6.637398,131.965243,papaya
18,148,202,21.477898,91.296665,6.558142,108.296702,apple
33,66,15,25.311235,75.596826,7.181257,74.398488,blackgram
18,67,19,23.537597,57.969629,5.81653,157.860043,pigeonpeas
85,20,43,24.040387,89.067705,5.746807,35.764022,watermelon
39,61,43,33.203498,93.637114,6.614912,147.609198,papaya
32,60,25,29.361755,66.477441,7.20353,76.355874,blackgram
23,156,186,25.891076,88.655945,5.770057,82.894462,grapes
14,64,11,25.887846,69.599536,6.207895,59.338857,lentil
80,52,38,24.18625,81.779428,6.438798,253.854711,rice
105,22,29,26.230514,56.282259,6.925884,179.147444,coffee
55,71,57,36.241058,91.021461,6.445497,127.428259,papaya
41,69,85,18.625256,18.171395,7.258711,84.980435,chickpea
91,32,34,23.189702,50.103771,6.799947,203.794557,coffee
67,27,31,18.399333,90.660447,6.785813,151.8839,jute
19,37,22,26.531436,66.80458,7.128203,45.193517,mothbeans
12,19,42,20.199566,85.062452,7.23794,116.82891,pomegranate
52,49,31,31.745856,91.429334,7.732117,153.865139,papaya
19,61,28,25.286456,45.666719,5.881756,124.957009,pigeonpeas
25,125,191,25.231644,94.886976,5.933146,122.466734,apple
24,64,19,19.952105,20.193362,5.97801,93.625769,kidneybeans
20,14,5,20.884144,88.537384,6.885311,149.038582,orange
18,37,16,29.24256,55.630071,6.967224,41.048515,mothbeans
85,56,45,24.677087,81.038923,6.703588,212.815244,rice
19,43,13,26.340527,77.912805,6.659488,43.015624,mungbean
84,18,43,27.74906,86.001079,6.742705,65.106923,watermelon
13,22,38,25.071458,92.165651,5.88839,135.492555,pomegranate
16,17,33,24.177994,92.040305,5.740729,153.833374,coconut
26,7,37,26.311423,94.565673,5.589055,214.572203,coconut
80,37,38,23.53228,70.972439,7.122817,157.604251,jute
15,14,50,23.282263,86.453632,7.053116,111.013974,pomegranate
22,58,24,23.175864,17.509821,5.532999,120.264922,kidneybeans
17,32,18,30.203264,62.060727,7.18422,55.293408,mothbeans
76,53,43,26.043061,87.03923,6.252244,163.170422,jute
22,75,16,20.175876,24.733316,5.816274,121.094671,kidneybeans
80,36,32,23.196323,88.976086,6.296163,190.905711,rice
17,62,15,23.726917,61.486753,6.983329,49.603687,lentil
50,58,49,35.319724,99.08505,6.800597,156.10156,papaya
14,17,43,18.880602,93.436451,6.07514,97.340321,pomegranate
20,17,8,21.839661,90.128803,6.990642,62.344753,orange
47,67,79,20.316429,17.699648,7.681255,85.306862,chickpea
80,51,27,29.099505,77.222549,6.326612,168.619847,jute
15,14,32,21.362613,91.743,6.85133,111.817535,pomegranate
104,56,17,23.955169,69.878348,6.372763,89.147188,cotton
23,44,14,28.895123,54.220186,7.042268,52.915774,mothbeans
18,43,21,25.505485,91.123758,6.433831,56.219035,mungbean
25,136,200,23.229078,82.325166,6.093837,74.012131,grapes
14,49,19,28.793871,83.911474,7.930744,62.601159,mungbean
26,68,15,30.148661,57.386189,6.908043,47.796223,lentil
108,37,17,23.833134,76.810508,7.316257,85.210848,cotton
21,60,15,22.35087,17.242352,6.557069,91.490689,kidneybeans
14,22,11,30.926021,43.348349,5.823962,70.623181,mango
92,17,50,29.324124,96.533082,5.994815,9.710725,muskmelon
21,79,21,19.473884,21.997166,5.399837,114.06773,kidneybeans
19,14,10,22.870591,89.608661,6.12978,90.142626,orange
21,57,23,24.995566,44.485389,5.213286,138.971957,pigeonpeas
75,48,19,25.009698,82.884184,6.077003,57.60394,maize
79,56,38,25.19999,79.630772,7.021091,158.30544,jute
127,31,35,26.884206,62.638066,7.014262,131.447886,coffee
109,56,20,25.313118,87.671238,5.956614,99.183106,cotton
63,60,28,21.068028,62.098388,6.414346,91.689136,maize
19,58,17,27.240204,72.495797,6.887089,45.129153,lentil
16,72,23,18.491368,25.581422,5.647369,108.797479,kidneybeans
17,16,47,20.671095,84.549097,6.241577,119.380659,pomegranate
54,48,68,35.412096,85.663984,6.416388,159.321621,papaya
80,39,42,23.99859,79.899132,6.427921,224.440592,rice
16,69,25,24.490155,50.108263,6.175166,149.249986,pigeonpeas
92,19,48,31.878295,95.104517,6.305348,24.918355,muskmelon
15,42,18,25.308212,83.043885,6.960932,63.273054,mungbean
18,63,14,20.979002,25.115746,6.083109,130.117387,kidneybeans
63,49,19,24.048229,66.156643,5.910772,108.93143,maize
78,61,46,23.056564,92.191779,6.687536,206.158245,jute
16,70,24,19.258476,11.583145,5.979579,111.551078,kidneybeans
43,54,89,15.575016,20.097639,7.750682,64.635504,chickpea
122,41,28,27.765997,80.264179,7.514252,106.746718,cotton
20,39,21,31.124392,56.391815,7.284795,48.62988,mothbeans
15,147,205,19.352164,95.352569,6.268992,115.487522,apple
51,58,53,37.052847,95.304144,7.203554,144.893628,papaya
17,14,41,21.360532,85.488954,7.234892,94.554596,pomegranate
113,41,16,24.334559,91.638441,6.60252,75.227861,cotton
24,25,18,31.776057,41.536447,5.977941,101.173486,mango
23,139,197,25.598235,79.159454,5.054123,63.641484,grapes
24,26,38,30.820613,55.297507,4.912572,131.281667,mango
64,39,33,24.165305,52.152066,6.60174,176.921988,coffee
105,29,28,25.507277,53.707663,6.793689,144.387664,coffee
129,37,25,29.164641,83.920791,7.21614,82.543965,cotton
15,52,6,26.940231,50.770357,7.153331,51.226309,mothbeans
21,15,30,26.033238,98.126023,6.369306,172.665242,coconut
18,16,27,29.816549,93.37403,5.478911,224.564429,coconut
14,17,32,30.470243,98.730585,6.145834,121.933025,coconut
18,123,197,21.785968,99.703125,5.43361,115.05381,apple
20,20,12,25.027725,81.300143,6.878217,136.142708,orange
16,25,24,30.427774,56.291325,5.843194,134.102887,mango
13,24,36,32.776583,55.684463,5.405182,119.238087,mango
22,15,6,22.572007,91.140065,7.781178,85.489306,orange
103,83,43,28.615895,77.378004,5.859205,133.938883,banana
13,128,187,23.424167,87.847744,6.073226,109.271272,apple
24,138,214,22.922438,87.917927,5.63639,89.929696,grapes
42,58,25,28.489688,71.462511,7.529494,73.480256,blackgram
21,46,20,20.755642,25.697081,5.494442,106.285307,kidneybeans
24,133,190,18.260522,83.724039,5.969579,60.727374,grapes
113,67,17,22.812017,75.726119,7.411151,74.408363,cotton
14,52,16,21.232154,62.751012,7.101,37.092511,lentil
77,83,65,26.693472,79.498026,6.018205,93.824084,banana
17,61,10,30.822335,52.354086,7.243834,51.798015,mothbeans
9,150,204,23.259646,92.052896,5.965371,101.054421,apple
73,48,41,23.723694,87.353997,6.253143,181.540632,jute
14,71,23,23.297747,72.295499,6.233295,31.052439,lentil
97,27,28,27.544347,58.121255,7.209481,197.446374,coffee
18,16,15,22.641248,93.357853,6.961446,134.747396,orange
17,56,25,23.504655,57.691179,6.832696,46.683716,lentil
42,63,14,29.678266,66.824115,8.067269,65.79025,blackgram
99,84,20,25.784699,78.83372,6.502025,83.399948,banana
24,63,10,22.115027,19.261481,6.21625,75.448443,kidneybeans
15,16,44,28.146076,89.287977,5.796511,115.045362,pomegranate
75,39,36,24.572148,82.111312,7.079703,163.405391,jute
35,59,56,32.034273,89.054646,5.953421,174.797912,papaya
22,67,25,23.156976,64.97133,6.531035,46.073627,lentil
15,22,33,28.971948,96.566496,5.866787,212.517008,coconut
20,63,18,23.446904,27.361844,5.380168,117.445986,kidneybeans
17,57,17,20.462853,24.380118,5.677031,98.805033,kidneybeans
23,44,14,31.041009,53.019116,6.988623,63.347519,mothbeans
42,61,56,35.382083,94.697545,6.501052,157.290995,papaya
35,76,79,18.881399,16.016316,7.362076,93.376474,chickpea
95,22,49,23.785347,87.334781,6.338145,38.756127,watermelon
23,30,25,33.556839,48.40291,5.305719,92.41938,mango
16,22,29,29.171672,52.233855,5.707091,95.158186,mango
84,46,20,23.120957,48.866121,6.201129,71.360315,maize
88,85,39,26.336244,82.403669,5.50707,137.107119,banana
62,42,33,24.171371,78.667904,5.835079,279.969463,rice
16,25,15,30.113406,56.801679,6.811395,50.776997,mothbeans
22,128,194,20.631174,79.369738,6.503324,92.99459,apple
21,76,27,19.380463,16.695809,5.734614,108.904208,kidneybeans
20,65,18,24.795512,60.729052,6.984147,61.303346,lentil
36,79,76,19.477387,17.780966,7.246277,93.162124,chickpea
20,70,28,22.243086,22.762542,6.276524,89.512141,kidneybeans
103,56,20,23.393367,82.25423,6.994617,91.50594,cotton
24,62,29,28.550311,52.318241,5.89361,144.029428,pigeonpeas
47,72,76,20.293909,15.998542,7.76925,86.544633,chickpea
39,60,87,18.659238,10.481991,7.638969,72.970077,chickpea
93,12,41,29.567083,92.2097,5.827212,28.824303,muskmelon
19,130,202,23.517863,83.73425,6.605192,62.384248,grapes
21,71,20,23.648489,68.002974,6.795297,51.559415,lentil
17,156,193,24.652175,95.67516,6.026435,99.589137,apple
19,56,21,28.919068,81.633499,6.793539,59.354434,mungbean
22,64,14,26.099974,56.542895,5.585866,156.169072,pigeonpeas
51,73,83,15.297885,15.371979,6.984886,71.687286,chickpea
131,55,18,24.474108,73.508619,7.099566,84.116903,cotton
26,73,73,15.238734,18.533608,7.849463,78.938272,chickpea
13,74,21,28.016537,72.557426,4.966355,183.493933,pigeonpeas
21,118,212,23.747876,81.226636,6.258719,76.334872,grapes
14,137,188,22.043379,90.811743,6.012356,101.944182,apple
22,67,18,20.403516,18.659428,6.735815,80.885085,kidneybeans
41,65,19,32.73089,68.290405,6.750653,61.997626,blackgram
44,54,14,26.085917,64.350928,6.881496,69.369218,blackgram
20,78,15,28.086959,50.198863,5.905608,174.44707,pigeonpeas
93,28,28,25.925498,54.409701,6.289353,157.967981,coffee
16,78,14,21.264399,67.584668,6.573037,49.212915,lentil
122,43,15,24.774124,81.105168,7.744137,70.627832,cotton
21,20,14,22.545683,95.067516,6.846762,91.538552,orange
10,19,42,27.06055,90.83238,6.90987,103.090547,pomegranate
19,14,15,25.142238,92.9301,6.488506,85.482155,orange
17,121,208,23.243305,93.894851,5.751991,107.412995,apple
20,57,23,26.498929,68.61114,7.00591,63.753907,mothbeans
106,27,33,23.743851,59.334253,7.11791,81.642769,coffee
17,89,20,23.727355,52.068234,7.455906,32.547903,lentil
87,49,31,23.583295,66.736393,6.176353,87.670818,maize
77,37,16,23.399455,52.45605,6.47619,84.607244,maize
12,12,47,21.207777,87.513117,5.87292,95.899666,pomegranate
109,19,45,24.746357,91.11914,6.378262,22.496568,muskmelon
81,47,24,26.075519,69.662482,6.304141,58.763275,maize
20,51,16,25.177833,88.013008,5.874639,45.826495,mungbean
89,40,40,23.334917,78.530239,6.681535,155.428337,jute
82,39,16,27.385078,63.674541,6.386973,102.401355,maize
16,73,21,24.182925,59.791886,6.936951,30.353779,lentil
39,71,66,16.646465,13.418225,7.357177,106.987725,chickpea
17,41,17,25.768765,82.103513,6.981371,35.926302,mungbean
18,16,38,28.392763,91.561578,5.394033,161.01743,coconut
20,21,50,27.630305,90.86479,5.565486,191.6369,coconut
118,65,19,23.363698,84.429363,6.758484,81.280097,cotton
20,77,17,16.346895,24.478846,5.645855,87.155,kidneybeans
38,70,86,17.293642,21.478066,7.191551,80.679491,chickpea
23,48,16,30.180332,52.397214,7.110615,46.225893,mothbeans
97,19,48,25.400829,65.132367,6.304736,183.909711,coffee
47,58,13,27.507559,65.592772,7.072653,76.876106,blackgram
102,47,19,28.09421,84.738228,6.647822,85.591912,cotton
65,59,19,25.39324,67.941803,6.482701,96.395346,maize
17,54,12,26.93449,57.278647,6.646286,48.6403,mothbeans
16,74,9,25.791781,58.705731,7.400913,47.612995,lentil
20,62,23,20.941946,23.968075,5.689586,72.699856,kidneybeans
91,64,51,27.962461,86.358398,5.391855,128.093875,banana
109,14,52,24.580212,85.828683,6.856751,38.729859,watermelon
25,139,201,25.208309,78.797639,5.776196,72.880064,grapes
19,58,17,24.567438,66.911561,6.454071,57.969109,lentil
47,67,13,25.528204,57.167778,6.350466,84.541636,blackgram
84,62,41,24.086326,82.002216,5.632492,235.204584,rice
12,23,36,20.38044,83.13845,7.370471,81.210388,pomegranate
24,27,30,34.474423,41.611871,5.28576,70.762303,mango
14,15,32,25.750532,96.560406,5.692384,205.002063,coconut
119,40,21,23.072974,84.502432,7.033223,75.270827,cotton
14,44,10,29.702199,41.309502,6.911383,30.221882,mothbeans
18,54,21,26.530932,85.976181,7.013601,47.117387,mungbean
20,60,12,20.903571,51.958555,6.692772,42.990197,lentil
24,113,198,21.010731,81.189577,6.292002,74.577263,grapes
20,60,16,29.373469,57.618012,5.704756,149.920055,pigeonpeas
90,83,45,29.757732,85.644649,6.245628,111.122691,banana
78,45,20,19.232184,57.427088,6.780166,71.862114,maize
124,101,50,28.173172,85.83719,5.841144,91.867519,banana
91,16,55,29.795478,90.277848,6.161584,30.25519,muskmelon
26,153,193,23.651714,80.910292,5.118163,65.344048,grapes
14,68,23,21.110053,70.221394,7.226922,55.540851,lentil
95,14,56,26.619027,84.350679,7.056583,48.877557,watermelon
96,88,34,29.759977,84.608845,5.938974,100.461151,banana
12,122,194,22.593038,91.719865,5.851325,121.161921,apple
18,29,32,29.58022,58.714214,5.917341,105.94729,mango
21,55,20,29.437773,63.530158,7.052524,54.116529,mothbeans
101,84,42,26.631225,79.576932,6.542248,63.385189,banana
19,8,11,20.587312,92.906623,6.78229,88.445121,orange
20,15,9,22.582767,92.035717,7.349226,122.179689,orange
20,132,192,24.483238,92.606072,5.830222,98.051415,apple
79,41,39,25.817201,84.641113,6.833578,165.502301,jute
18,27,23,32.071895,45.628353,5.743317,108.16739,mango
74,52,43,23.668648,82.76931,6.911066,218.252858,rice
16,139,197,25.292187,89.456194,5.043428,59.505988,grapes
39,64,63,20.395821,13.781771,7.395699,112.11124,chickpea
51,65,46,34.70515,91.084442,6.987731,146.393863,papaya
92,31,28,23.127544,64.426295,6.082032,92.982722,maize
105,14,41,27.070629,91.27863,6.358456,42.324172,muskmelon
52,64,50,35.478527,99.9,7.384922,132.549581,papaya
75,45,53,26.518622,92.503255,6.501215,172.875835,jute
64,40,13,20.160317,73.629134,5.92024,137.647641,maize
15,125,191,21.14242,90.373132,5.997041,130.313493,apple
24,65,6,26.277379,48.614895,5.395761,138.695632,pigeonpeas
116,27,27,25.595035,62.717415,6.938945,225.197105,coffee
13,129,204,23.51445,97.711036,6.37929,107.289167,apple
18,6,32,27.323477,98.840019,5.949249,139.03316,coconut
17,61,19,25.369882,62.93608,7.115107,49.063895,lentil
19,32,30,32.624964,56.388283,5.955274,80.44593,mango
86,12,63,28.791922,92.129668,6.020318,28.58157,muskmelon
88,54,43,26.125768,77.023431,7.44314,176.078136,jute
134,63,17,18.900034,69.609063,7.428752,79.294122,cotton
20,20,11,23.971043,85.814671,7.148421,95.300498,orange
17,18,38,18.041373,96.576712,6.551769,135.623042,pomegranate
42,81,17,29.83874,67.155582,7.856844,42.807725,blackgram
73,43,36,22.404014,82.494087,6.06762,244.113705,rice
23,42,20,28.302396,50.689295,6.351014,54.229745,mothbeans
80,14,53,29.988777,90.386021,6.3778,20.220952,muskmelon
92,17,69,23.873621,93.260536,7.301769,50.026888,watermelon
15,71,14,24.086031,59.113848,7.22894,37.630196,lentil
20,71,20,26.845113,41.828237,6.380371,185.143933,pigeonpeas
25,132,197,24.988029,79.034007,5.762497,71.821916,grapes
22,39,26,28.826264,57.822395,7.486616,39.884198,mothbeans
16,18,46,20.378765,86.168528,6.626869,71.138472,pomegranate
61,48,45,21.664757,82.348563,7.232137,222.196475,jute
94,18,42,23.181129,90.071308,6.790867,51.658916,watermelon
92,26,28,27.140027,56.454037,6.470455,150.212166,coffee
58,50,45,25.792748,76.898848,6.245995,187.362438,jute
17,137,194,21.206117,92.001629,6.037439,84.272951,apple
67,60,50,24.432241,78.24651,6.944965,188.770321,jute
23,11,13,26.161531,92.491015,6.672799,112.460373,orange
20,17,24,29.840223,45.424178,5.876756,92.591606,mango
20,84,20,19.719922,20.570218,5.827843,125.592727,kidneybeans
96,14,49,22.786561,84.795044,7.098752,44.889149,watermelon
19,83,28,31.43756,48.045729,5.91825,118.667149,pigeonpeas
107,43,4,24.903574,76.88064,7.344458,85.852889,cotton
16,16,5,18.949476,95.40849,7.231625,119.341819,orange
115,15,60,25.951148,81.000997,7.239216,60.907108,watermelon
105,15,46,32.637515,96.858942,6.19576,29.567528,muskmelon
120,56,17,24.906642,79.747698,7.070793,70.181526,cotton
23,80,14,18.478285,16.969689,5.806392,111.995376,kidneybeans
34,68,82,20.286211,17.529325,7.153189,68.586147,chickpea
37,69,22,34.463427,70.963417,7.363936,61.928406,blackgram
10,78,22,21.014105,61.654587,7.527273,60.477964,lentil
77,48,27,24.057794,85.124108,6.530625,156.568458,jute
15,21,41,21.875839,93.715856,6.740304,135.931266,pomegranate
109,19,52,27.377726,92.297715,6.468831,29.396595,muskmelon
20,17,28,27.055215,90.044262,5.942591,192.19015,coconut
107,73,60,27.684089,77.708379,6.165136,122.863767,banana
94,24,66,32.362354,92.328075,5.787154,6.255687,muskmelon
106,91,47,24.927043,85.497761,5.861864,139.606436,banana
65,36,21,25.217746,78.671422,6.116446,106.573617,maize
23,68,24,29.784024,68.888595,6.919731,53.22447,lentil
22,130,204,20.950558,81.882593,6.058123,70.49535,grapes
110,25,28,23.720169,57.637072,7.073642,162.364582,coffee
37,67,64,17.510574,15.772153,7.090365,83.285323,chickpea
23,52,9,27.441066,83.752632,6.891744,22.751829,mungbean
12,66,19,24.39499,64.430729,6.917216,56.228415,lentil
33,66,24,25.317492,75.206893,7.34895,62.482825,blackgram
104,73,52,25.937491,76.809362,5.645005,97.491851,banana
99,52,41,24.536678,78.863035,7.166878,162.735106,jute
22,21,26,33.189116,45.629438,5.680122,118.638137,mango
19,41,18,31.397076,58.512771,7.244889,36.837729,mothbeans
21,43,19,31.538139,48.044652,7.545912,47.779718,mothbeans
104,20,59,29.627109,86.076394,6.609564,35.768275,watermelon
34,70,14,28.663495,73.951657,7.230846,69.895692,blackgram
24,14,13,24.487903,91.365255,7.526538,51.826785,orange
107,15,43,27.637075,79.942,6.379368,54.28644,watermelon
16,144,188,18.961898,99.774109,5.342473,116.682388,apple
19,121,175,20.522918,96.751193,5.738867,109.613423,apple
89,30,34,22.111113,52.172322,7.155263,180.901144,coffee
33,77,19,31.375661,65.388032,6.563027,77.010473,blackgram
82,20,41,24.922662,90.96577,5.936314,35.674018,watermelon
103,43,23,24.941648,78.172205,6.976369,81.60718,cotton
84,54,21,22.860503,64.699255,5.998414,79.386498,maize
37,88,18,26.891521,65.194919,7.107743,88.080367,blackgram
20,135,199,24.132339,79.800301,5.695974,74.309088,grapes
36,65,63,19.326587,17.003616,6.973165,90.888685,chickpea
22,148,193,22.413741,83.912562,5.669109,72.287888,grapes
26,17,30,24.505564,93.872268,5.703474,155.271413,coconut
103,93,42,26.570739,77.50279,6.025778,97.820832,banana
17,40,25,30.385577,87.949221,7.128772,40.207172,mungbean
27,42,17,28.073754,56.074793,7.00542,63.840958,mothbeans
121,38,21,22.340399,78.715205,7.30991,93.634062,cotton
21,82,18,18.404732,19.391644,5.464147,93.228571,kidneybeans
123,46,20,19.185338,78.237189,6.627459,70.114105,cotton
100,12,52,24.684631,89.286851,6.809423,46.042941,watermelon
20,17,36,27.172247,94.845102,5.56014,186.768498,coconut
25,139,215,21.924957,84.771261,5.786517,87.857125,grapes
17,143,204,21.960335,98.703632,6.522566,131.657907,apple
45,55,45,35.449479,91.167409,5.982739,142.033606,papaya
85,49,36,23.387817,80.327996,6.164254,261.488063,rice
111,16,59,24.639571,86.175403,6.58374,50.549559,watermelon
97,30,30,27.225917,49.789468,7.460766,172.128616,coffee
19,134,202,22.591596,99.121449,5.503705,111.715924,apple
31,152,198,22.456164,84.788952,5.76099,52.651672,grapes
18,29,34,35.586899,55.934224,5.777285,81.643464,mango
12,14,26,29.286318,94.773387,6.253475,142.879174,coconut
25,82,13,27.664234,62.903207,6.951675,45.36726,lentil
19,47,22,29.081794,78.017873,6.251503,58.2941,mungbean
109,13,50,28.029714,92.558663,6.008202,21.704614,muskmelon
23,21,28,31.377769,93.03199,5.893688,182.131923,coconut
22,12,4,22.231624,98.771166,7.258239,124.079294,orange
110,16,47,29.831266,94.190072,6.912176,35.331751,muskmelon
21,23,10,23.996344,88.597868,7.307175,99.472183,orange
16,66,17,21.141103,61.317832,6.235508,141.473986,pigeonpeas
27,120,216,22.080558,92.441486,5.465316,97.574612,apple
40,70,75,19.438254,15.970423,7.548629,75.455845,chickpea
41,66,17,31.415798,69.321417,6.79708,80.985348,blackgram
105,36,36,24.016985,62.699171,6.534293,171.603864,coffee
28,77,13,17.455084,23.927464,6.118906,113.233258,kidneybeans
21,11,22,22.971464,97.252604,6.131063,197.088757,coconut
40,65,81,18.309197,17.505383,7.827039,65.901862,chickpea
21,42,19,27.296101,48.963969,6.897182,48.843904,mothbeans
18,46,15,28.129985,48.833995,6.454381,53.586611,mothbeans
24,138,187,22.942956,79.575665,5.705329,84.153967,grapes
43,71,89,20.246363,16.584632,6.810281,77.864651,chickpea
16,13,14,21.172373,93.221873,7.090617,135.95833,orange
18,66,21,22.732002,66.094983,6.747404,32.795066,lentil
42,54,18,28.074353,70.968353,7.328432,43.106164,blackgram
106,77,43,26.44432,80.221574,6.436872,66.318245,banana
26,12,34,29.041215,91.877498,6.593349,181.788212,coconut
23,15,14,25.069537,94.220572,7.203414,118.452572,orange
69,45,40,24.471658,85.14646,5.950143,189.976575,rice
14,45,8,31.239402,81.655782,7.202161,58.458696,mungbean
14,18,31,25.297356,92.033342,5.790121,184.743695,coconut
22,128,198,24.632072,74.478258,5.272244,60.446764,grapes
15,26,21,28.010352,50.611304,6.997412,50.395963,mothbeans
22,21,30,30.756111,99.9,6.012434,151.183525,coconut
16,66,18,24.953433,23.731839,5.348953,96.52839,kidneybeans
26,16,27,26.706272,97.37512,5.946072,183.282092,coconut
24,53,15,28.101941,52.73784,7.032341,65.510014,mothbeans
100,78,34,28.340966,88.289378,6.0857,117.18271,banana
15,17,15,23.361857,95.735954,7.437825,134.72979,orange
113,19,43,23.733762,87.793891,6.401233,31.740222,watermelon
106,33,31,24.863502,56.801808,6.810269,165.239812,coffee
44,71,21,26.535554,66.301366,7.091803,76.747294,blackgram
109,20,39,27.768098,96.391954,6.516617,16.410457,muskmelon
99,29,20,27.034711,59.986674,7.200748,159.004013,coffee
111,17,46,30.790112,93.583161,6.199991,34.23998,muskmelon
16,140,196,24.435544,97.140664,5.642029,128.86525,apple
93,66,41,29.388598,81.418925,5.848449,94.818124,banana
91,43,17,21.895538,54.444396,5.932539,64.917185,maize
101,18,51,31.079285,94.482481,6.475165,33.337525,muskmelon
40,62,27,31.780124,61.561373,6.366156,63.371928,blackgram
16,127,182,24.614236,97.38412,5.769171,107.041013,apple
42,70,16,28.672199,58.806292,7.61391,68.161404,blackgram
20,50,20,24.027045,54.662938,7.785012,47.399607,mothbeans
102,15,58,23.3805,86.392989,5.880972,53.039439,watermelon
92,109,56,29.603476,82.367974,5.257497,112.899159,banana
96,17,39,29.295734,89.862119,6.419726,46.953041,watermelon
